Geneid	GeneSymbol	Class
1307	gene1307.1	e4AlJ	pseudo gene
1308	gene1308.1	cEAs6	pseudo gene
1309	gene1309.1	eFLx9	pseudo gene
1310	gene1310.1	jMyzL	pseudo gene
1311	gene1311.1	BQjvt	pseudo gene
1312	gene1312.1	yiK9O	pseudo gene
1313	gene1313.1	KKKP5	pseudo gene
1314	gene1314.1	wyPfF	pseudo gene
1315	gene1315.1	yCgJn	pseudo gene
1316	gene1316.1	aainM	pseudo gene
1317	gene1317.1	RV0vA	pseudo gene
1318	gene1318.1	RzR7F	pseudo gene
1319	gene1319.1	gvz8R	pseudo gene
1320	gene1320.1	uwJ6T	pseudo gene
1321	gene1321.1	HZf9R	pseudo gene
1322	gene1322.1	DQYii	pseudo gene
1323	gene1323.1	NpXpl	pseudo gene
1324	gene1324.1	ABX3N	pseudo gene
1325	gene1325.1	nhszQ	pseudo gene
1326	gene1326.1	NQGDJ	pseudo gene
1327	gene1327.1	tRINx	pseudo gene
1328	gene1328.1	2cNU7	pseudo gene
1329	gene1329.1	KbdGy	pseudo gene
1330	gene1330.1	xrP72	pseudo gene
1331	gene1331.1	9BsdA	pseudo gene
1332	gene1332.1	iGrSO	pseudo gene
1333	gene1333.1	pkD1k	pseudo gene
1334	gene1334.1	BZfER	pseudo gene
1335	gene1335.1	8oLc3	pseudo gene
1336	gene1336.1	TnrWE	pseudo gene
1337	gene1337.1	PEMob	pseudo gene
1338	gene1338.1	8ebTk	pseudo gene
1339	gene1339.1	zli9k	pseudo gene
1340	gene1340.1	hNGnN	pseudo gene
1341	gene1341.1	BXgsM	pseudo gene
1342	gene1342.1	I3LtW	pseudo gene
1343	gene1343.1	1XnEs	pseudo gene
1344	gene1344.1	ClK4J	pseudo gene
1345	gene1345.1	NzxoY	pseudo gene
1346	gene1346.1	IekHL	pseudo gene
1347	gene1347.1	pmkK2	pseudo gene
1348	gene1348.1	j95XX	pseudo gene
1349	gene1349.1	qOOFb	pseudo gene
1350	gene1350.1	Wt1Aw	pseudo gene
1351	gene1351.1	1q78F	pseudo gene
1352	gene1352.1	L6HBX	pseudo gene
1353	gene1353.1	EOG7k	pseudo gene
1354	gene1354.1	Zi4oB	pseudo gene
1355	gene1355.1	rf4wm	pseudo gene
1356	gene1356.1	TuJB7	pseudo gene
1357	gene1357.1	7hfgB	pseudo gene
1358	gene1358.1	593Xl	pseudo gene
1359	gene1359.1	qEVu5	pseudo gene
1360	gene1360.1	fxT5i	pseudo gene
1361	gene1361.1	qbnVc	pseudo gene
1362	gene1362.1	iHXg9	pseudo gene
1363	gene1363.1	ckzyi	pseudo gene
1364	gene1364.1	8Bdyk	pseudo gene
1365	gene1365.1	cf3b7	pseudo gene
1366	gene1366.1	CTlgg	pseudo gene
1367	gene1367.1	yCZdC	pseudo gene
1368	gene1368.1	gLFZs	pseudo gene
1369	gene1369.1	zKqBc	pseudo gene
1370	gene1370.1	oBwQx	pseudo gene
1371	gene1371.1	c7Jux	pseudo gene
1372	gene1372.1	DBy69	pseudo gene
1373	gene1373.1	LcarW	pseudo gene
1374	gene1374.1	jM62I	pseudo gene
1375	gene1375.1	Ctyj3	pseudo gene
1376	gene1376.1	5bPmI	pseudo gene
1377	gene1377.1	rvELh	pseudo gene
1378	gene1378.1	X8zEx	pseudo gene
1379	gene1379.1	8i3WX	pseudo gene
1380	gene1380.1	ibkYn	pseudo gene
1381	gene1381.1	puONP	pseudo gene
1382	gene1382.1	nNd9K	pseudo gene
1383	gene1383.1	HrtFk	pseudo gene
1384	gene1384.1	TwlKf	pseudo gene
1385	gene1385.1	qJxGL	pseudo gene
1386	gene1386.1	My0Wt	pseudo gene
1387	gene1387.1	rrMZv	pseudo gene
1388	gene1388.1	aXUKY	pseudo gene
1389	gene1389.1	eNFqp	pseudo gene
1390	gene1390.1	6hwug	pseudo gene
1391	gene1391.1	cndo7	pseudo gene
1392	gene1392.1	lFRdX	pseudo gene
1393	gene1393.1	BszeU	pseudo gene
1394	gene1394.1	DhLAV	pseudo gene
1395	gene1395.1	A3U5d	pseudo gene
1396	gene1396.1	vHLRR	pseudo gene
1397	gene1397.1	WP76v	pseudo gene
1398	gene1398.1	qBzWD	pseudo gene
1399	gene1399.1	FD1Gz	pseudo gene
1400	gene1400.1	e0FMU	pseudo gene
1401	gene1401.1	POkO9	pseudo gene
1402	gene1402.1	hPnlB	pseudo gene
1403	gene1403.1	sRWOO	pseudo gene
1404	gene1404.1	ekox0	pseudo gene
1405	gene1405.1	XA8Vq	pseudo gene
1406	gene1406.1	fpcwD	pseudo gene
1407	gene1407.1	dDfME	pseudo gene
1408	gene1408.1	ZnAds	pseudo gene
1409	gene1409.1	5DlkP	pseudo gene
1410	gene1410.1	zPR4f	pseudo gene
1411	gene1411.1	p3GBQ	pseudo gene
1412	gene1412.1	9658E	pseudo gene
1413	gene1413.1	lN0uS	pseudo gene
1414	gene1414.1	XnA9k	pseudo gene
1415	gene1415.1	9t4Um	pseudo gene
1416	gene1416.1	Zh4aP	pseudo gene
1417	gene1417.1	ohTW8	pseudo gene
1418	gene1418.1	wffd5	pseudo gene
1419	gene1419.1	AYCN6	pseudo gene
1420	gene1420.1	3nn0G	pseudo gene
1421	gene1421.1	7HFyI	pseudo gene
1422	gene1422.1	coepQ	pseudo gene
1423	gene1423.1	UcrXa	pseudo gene
1424	gene1424.1	z8EEs	pseudo gene
1425	gene1425.1	b1L5w	pseudo gene
1426	gene1426.1	uB3Tz	pseudo gene
1427	gene1427.1	PNsEK	pseudo gene
1428	gene1428.1	fPlGI	pseudo gene
1429	gene1429.1	BjdSV	pseudo gene
1430	gene1430.1	GK756	pseudo gene
1431	gene1431.1	PPeg1	pseudo gene
1432	gene1432.1	D86OX	pseudo gene
1433	gene1433.1	t0K5g	pseudo gene
1434	gene1434.1	ok8OX	pseudo gene
1435	gene1435.1	bE76v	pseudo gene
1436	gene1436.1	xg6Qe	pseudo gene
1437	gene1437.1	AAfZ4	pseudo gene
1438	gene1438.1	7kCur	pseudo gene
1439	gene1439.1	DmQRb	pseudo gene
1440	gene1440.1	SiKdW	pseudo gene
1441	gene1441.1	kcVR5	pseudo gene
1442	gene1442.1	X1qeO	pseudo gene
1443	gene1443.1	Q2bYO	pseudo gene
1444	gene1444.1	t33Ui	pseudo gene
1445	gene1445.1	Lo0sz	pseudo gene
1446	gene1446.1	E7j6d	pseudo gene
1447	gene1447.1	FV5xZ	pseudo gene
1448	gene1448.1	XCzgA	pseudo gene
1449	gene1449.1	Hcfpo	pseudo gene
1450	gene1450.1	1Rk0T	pseudo gene
1451	gene1451.1	xTaFh	pseudo gene
1452	gene1452.1	mvnxI	pseudo gene
1453	gene1453.1	lGGGO	pseudo gene
1454	gene1454.1	FvyKN	pseudo gene
1455	gene1455.1	AT4Yc	pseudo gene
1456	gene1456.1	3BlII	pseudo gene
1457	gene1457.1	NXFig	pseudo gene
1458	gene1458.1	rCMzn	pseudo gene
1459	gene1459.1	qyB66	pseudo gene
1460	gene1460.1	BKqDS	pseudo gene
1461	gene1461.1	n4Cze	pseudo gene
1462	gene1462.1	AKcay	pseudo gene
1463	gene1463.1	Jdx4k	pseudo gene
1464	gene1464.1	VcfTH	pseudo gene
1465	gene1465.1	6Pje2	pseudo gene
1466	gene1466.1	2gwbH	pseudo gene
1467	gene1467.1	zoUVk	pseudo gene
1468	gene1468.1	F8hCw	pseudo gene
1469	gene1469.1	6q8nl	pseudo gene
1470	gene1470.1	g0F38	pseudo gene
1471	gene1471.1	C1pYD	pseudo gene
1472	gene1472.1	qU10N	pseudo gene
1473	gene1473.1	Gu4TI	pseudo gene
1474	gene1474.1	oojNI	pseudo gene
1475	gene1475.1	mY1XV	pseudo gene
1476	gene1476.1	mwq7u	pseudo gene
1477	gene1477.1	O2Uno	pseudo gene
1478	gene1478.1	9m7X5	pseudo gene
1479	gene1479.1	kSfID	pseudo gene
1480	gene1480.1	luWGY	pseudo gene
1481	gene1481.1	7zenk	pseudo gene
1482	gene1482.1	1sQLv	pseudo gene
1483	gene1483.1	O5zKI	pseudo gene
1484	gene1484.1	GzpEr	pseudo gene
1485	gene1485.1	nIaOh	pseudo gene
1486	gene1486.1	KQcda	pseudo gene
1487	gene1487.1	PrNXy	pseudo gene
1488	gene1488.1	40Dhj	pseudo gene
1489	gene1489.1	5XZ2b	pseudo gene
1490	gene1490.1	lhfwi	pseudo gene
1491	gene1491.1	Pz5Mo	pseudo gene
1492	gene1492.1	zvFJm	pseudo gene
1493	gene1493.1	JGZzj	pseudo gene
1494	gene1494.1	nz9Eo	pseudo gene
1495	gene1495.1	yKvcs	pseudo gene
1496	gene1496.1	6z9IQ	pseudo gene
1497	gene1497.1	fX2UU	pseudo gene
1498	gene1498.1	BiAt9	pseudo gene
1499	gene1499.1	AfKCu	pseudo gene
1500	gene1500.1	5KUY0	pseudo gene
1501	gene1501.1	mbiNv	pseudo gene
1502	gene1502.1	5fdpe	pseudo gene
1503	gene1503.1	MdZuv	pseudo gene
1504	gene1504.1	leDkT	pseudo gene
1505	gene1505.1	dRFSG	pseudo gene
1506	gene1506.1	QP0RO	pseudo gene
1507	gene1507.1	E13du	pseudo gene
1508	gene1508.1	KUlNd	pseudo gene
1509	gene1509.1	KoHVZ	pseudo gene
1510	gene1510.1	7Zejz	pseudo gene
1511	gene1511.1	6DtSO	pseudo gene
1512	gene1512.1	pMY6e	pseudo gene
1513	gene1513.1	HC9Qt	pseudo gene
1514	gene1514.1	5zoUx	pseudo gene
1515	gene1515.1	aPkIE	pseudo gene
1516	gene1516.1	nNXJ1	pseudo gene
1517	gene1517.1	TZrfh	pseudo gene
1518	gene1518.1	fHpu3	pseudo gene
1519	gene1519.1	lpO4H	pseudo gene
1520	gene1520.1	4qJMi	pseudo gene
1521	gene1521.1	PJwwK	pseudo gene
1522	gene1522.1	sxxbO	pseudo gene
1523	gene1523.1	Bscqc	pseudo gene
1524	gene1524.1	sjjEF	pseudo gene
1525	gene1525.1	BdW8a	pseudo gene
1526	gene1526.1	vuqkw	pseudo gene
1527	gene1527.1	GEslk	pseudo gene
1528	gene1528.1	hwzKi	pseudo gene
1529	gene1529.1	YUd9R	pseudo gene
1530	gene1530.1	wgbC9	pseudo gene
1531	gene1531.1	4IsGl	pseudo gene
1532	gene1532.1	Hc7uv	pseudo gene
1533	gene1533.1	fHhg1	pseudo gene
1534	gene1534.1	6sreS	pseudo gene
1535	gene1535.1	bHuGB	pseudo gene
1536	gene1536.1	P2z2a	pseudo gene
1537	gene1537.1	7MKN5	pseudo gene
1538	gene1538.1	sF5Gq	pseudo gene
1539	gene1539.1	kGw6D	pseudo gene
1540	gene1540.1	nriuL	pseudo gene
1541	gene1541.1	Vw7BX	pseudo gene
1542	gene1542.1	iDFfV	pseudo gene
1543	gene1543.1	2Uerr	pseudo gene
1544	gene1544.1	QoJ7b	pseudo gene
1545	gene1545.1	SCHio	pseudo gene
1546	gene1546.1	WgKXD	pseudo gene
1547	gene1547.1	IKE1V	pseudo gene
1548	gene1548.1	PsqOj	pseudo gene
1549	gene1549.1	NFJLn	pseudo gene
1550	gene1550.1	pDflF	pseudo gene
1551	gene1551.1	AkOCz	pseudo gene
1552	gene1552.1	bQ88B	pseudo gene
1553	gene1553.1	MWbgf	pseudo gene
1554	gene1554.1	u6ed1	pseudo gene
1555	gene1555.1	YvEyj	pseudo gene
1556	gene1556.1	e2CPR	pseudo gene
1557	gene1557.1	50YKU	pseudo gene
1558	gene1558.1	SJdn0	pseudo gene
1559	gene1559.1	HmAJp	pseudo gene
1560	gene1560.1	ngi2b	pseudo gene
1561	gene1561.1	Y0uYg	pseudo gene
1562	gene1562.1	9tzYX	pseudo gene
1563	gene1563.1	62zYf	pseudo gene
1564	gene1564.1	yg7Tl	pseudo gene
1565	gene1565.1	A6j1Q	pseudo gene
1566	gene1566.1	LH8Ol	pseudo gene
1567	gene1567.1	Qv2pw	pseudo gene
1568	gene1568.1	I2XDP	pseudo gene
1569	gene1569.1	qbqZd	pseudo gene
1570	gene1570.1	NJear	pseudo gene
1571	gene1571.1	37Sga	pseudo gene
1572	gene1572.1	DeOxx	pseudo gene
1573	gene1573.1	rt8Ei	pseudo gene
1574	gene1574.1	z4AmR	pseudo gene
1575	gene1575.1	lTae6	pseudo gene
1576	gene1576.1	7d3np	pseudo gene
1577	gene1577.1	4I1Rg	pseudo gene
1578	gene1578.1	R8I01	pseudo gene
1579	gene1579.1	JxYcK	pseudo gene
1580	gene1580.1	up2Ce	pseudo gene
1581	gene1581.1	tjmfI	pseudo gene
1582	gene1582.1	HyuGt	pseudo gene
1583	gene1583.1	MhO8k	pseudo gene
1584	gene1584.1	micv9	pseudo gene
1585	gene1585.1	cgmz0	pseudo gene
1586	gene1586.1	NA8xw	pseudo gene
1587	gene1587.1	VlOod	pseudo gene
1588	gene1588.1	MdsCN	pseudo gene
1589	gene1589.1	87Tvf	pseudo gene
1590	gene1590.1	rEzT8	pseudo gene
1591	gene1591.1	5pHzI	pseudo gene
1592	gene1592.1	WBtyZ	pseudo gene
1593	gene1593.1	kNR1M	pseudo gene
1594	gene1594.1	TqpFQ	pseudo gene
1595	gene1595.1	jvIl3	pseudo gene
1596	gene1596.1	D9l9Z	pseudo gene
1597	gene1597.1	pDxft	pseudo gene
1598	gene1598.1	Q4nOe	pseudo gene
1599	gene1599.1	b7Vus	pseudo gene
1600	gene1600.1	NmKrr	pseudo gene
1601	gene1601.1	wC1Zp	pseudo gene
1602	gene1602.1	swFcA	pseudo gene
1603	gene1603.1	zDWUB	pseudo gene
1604	gene1604.1	zflwg	pseudo gene
1605	gene1605.1	8rTA6	pseudo gene
1606	gene1606.1	EGsjo	pseudo gene
1607	gene1607.1	fZmq7	pseudo gene
1608	gene1608.1	EaoSo	pseudo gene
1609	gene1609.1	Hwj3G	pseudo gene
1610	gene1610.1	SPEo5	pseudo gene
1611	gene1611.1	bJcpr	pseudo gene
1612	gene1612.1	LKSf5	pseudo gene
1613	gene1613.1	gws7Q	pseudo gene
1614	gene1614.1	A8dO8	pseudo gene
1615	gene1615.1	JwUco	pseudo gene
1616	gene1616.1	YZJmA	pseudo gene
1617	gene1617.1	H0hoe	pseudo gene
1618	gene1618.1	ecPFc	pseudo gene
1619	gene1619.1	riTZn	pseudo gene
1620	gene1620.1	uPz1o	pseudo gene
1621	gene1621.1	CxvWZ	pseudo gene
1622	gene1622.1	7ofoS	pseudo gene
1623	gene1623.1	ubEFx	pseudo gene
1624	gene1624.1	qJabG	pseudo gene
1625	gene1625.1	Niht2	pseudo gene
1626	gene1626.1	BCNzy	pseudo gene
1627	gene1627.1	THR4Y	pseudo gene
1628	gene1628.1	oCSGw	pseudo gene
1629	gene1629.1	a5uaB	pseudo gene
1630	gene1630.1	d2qAW	pseudo gene
1631	gene1631.1	SwhWw	pseudo gene
1632	gene1632.1	B8DuP	pseudo gene
1633	gene1633.1	uglB8	pseudo gene
1634	gene1634.1	7Hs7z	pseudo gene
1635	gene1635.1	QGlHs	pseudo gene
1636	gene1636.1	DlH0b	pseudo gene
1637	gene1637.1	YD4bh	pseudo gene
1638	gene1638.1	metPt	pseudo gene
1639	gene1639.1	jrVIW	pseudo gene
1640	gene1640.1	1vB8W	pseudo gene
1641	gene1641.1	ryhYT	pseudo gene
1642	gene1642.1	5MIPn	pseudo gene
1643	gene1643.1	PsVy7	pseudo gene
1644	gene1644.1	SGBuC	pseudo gene
1645	gene1645.1	osUN4	pseudo gene
1646	gene1646.1	qFftS	pseudo gene
1647	gene1647.1	U7U1k	pseudo gene
1648	gene1648.1	E81qV	pseudo gene
1649	gene1649.1	xlXZ0	pseudo gene
1650	gene1650.1	dFcQm	pseudo gene
1651	gene1651.1	0yA3m	pseudo gene
1652	gene1652.1	bpuX1	pseudo gene
1653	gene1653.1	lXk9B	pseudo gene
1654	gene1654.1	hm62Y	pseudo gene
1655	gene1655.1	Q0QYi	pseudo gene
1656	gene1656.1	m0I06	pseudo gene
1657	gene1657.1	siIMR	pseudo gene
1658	gene1658.1	g6iMl	pseudo gene
1659	gene1659.1	GsuPY	pseudo gene
1660	gene1660.1	7z4wS	pseudo gene
1661	gene1661.1	F0tQv	pseudo gene
1662	gene1662.1	bbyzE	pseudo gene
1663	gene1663.1	HyYMY	pseudo gene
1664	gene1664.1	NMKRd	pseudo gene
1665	gene1665.1	Ps5WV	pseudo gene
1666	gene1666.1	Q8pNW	pseudo gene
1667	gene1667.1	1FmLS	pseudo gene
1668	gene1668.1	Lc0t8	pseudo gene
1669	gene1669.1	73Bho	pseudo gene
1670	gene1670.1	0ErKe	pseudo gene
1671	gene1671.1	FLzXt	pseudo gene
1672	gene1672.1	AubHS	pseudo gene
1673	gene1673.1	7khKJ	pseudo gene
1674	gene1674.1	tW6Em	pseudo gene
1675	gene1675.1	Jni5u	pseudo gene
1676	gene1676.1	EhOBU	pseudo gene
1677	gene1677.1	zXckE	pseudo gene
1678	gene1678.1	IMy9w	pseudo gene
1679	gene1679.1	Zc9oS	pseudo gene
1680	gene1680.1	M2PbE	pseudo gene
1681	gene1681.1	HkpgH	pseudo gene
1682	gene1682.1	1HUmw	pseudo gene
1683	gene1683.1	UaIiL	pseudo gene
1684	gene1684.1	G9kYg	pseudo gene
1685	gene1685.1	qlU25	pseudo gene
1686	gene1686.1	GLhIW	pseudo gene
1687	gene1687.1	qaoa5	pseudo gene
1688	gene1688.1	XE9lQ	pseudo gene
1689	gene1689.1	Ubagn	pseudo gene
1690	gene1690.1	hswFr	pseudo gene
1691	gene1691.1	mjYRg	pseudo gene
1692	gene1692.1	5JrSg	pseudo gene
1693	gene1693.1	WeKpn	pseudo gene
1694	gene1694.1	ErAlK	pseudo gene
1695	gene1695.1	ZbXes	pseudo gene
1696	gene1696.1	ohJBr	pseudo gene
1697	gene1697.1	7da3b	pseudo gene
1698	gene1698.1	edH9X	pseudo gene
1699	gene1699.1	G9vXu	pseudo gene
1700	gene1700.1	DWFeX	pseudo gene
1701	gene1701.1	fcTA7	pseudo gene
1702	gene1702.1	aYRXk	pseudo gene
1703	gene1703.1	gANwJ	pseudo gene
1704	gene1704.1	Dwa0L	pseudo gene
1705	gene1705.1	LfAV8	pseudo gene
1706	gene1706.1	XkWMX	pseudo gene
1707	gene1707.1	NlIj8	pseudo gene
1708	gene1708.1	V2Cxq	pseudo gene
1709	gene1709.1	0Y3R0	pseudo gene
1710	gene1710.1	kHuPR	pseudo gene
1711	gene1711.1	dV1NK	pseudo gene
1712	gene1712.1	I2NyU	pseudo gene
1713	gene1713.1	YZa1a	pseudo gene
1714	gene1714.1	SBrVj	pseudo gene
1715	gene1715.1	eIqrJ	pseudo gene
1716	gene1716.1	Kb8pD	pseudo gene
1717	gene1717.1	8H63s	pseudo gene
1718	gene1718.1	HWd5F	pseudo gene
1719	gene1719.1	JYw0d	pseudo gene
1720	gene1720.1	RuqxL	pseudo gene
1721	gene1721.1	dFmGc	pseudo gene
1722	gene1722.1	wFmKM	pseudo gene
1723	gene1723.1	J6stT	pseudo gene
1724	gene1724.1	8AGyr	pseudo gene
1725	gene1725.1	DP7j8	pseudo gene
1726	gene1726.1	39gWZ	pseudo gene
1727	gene1727.1	VlJtb	pseudo gene
1728	gene1728.1	XgAWH	pseudo gene
1729	gene1729.1	uoyiM	pseudo gene
1730	gene1730.1	3WDZO	pseudo gene
1731	gene1731.1	V8kRC	pseudo gene
1732	gene1732.1	QH6lQ	pseudo gene
1733	gene1733.1	i1tkE	pseudo gene
1734	gene1734.1	TiPCD	pseudo gene
1735	gene1735.1	vvIGO	pseudo gene
1736	gene1736.1	EjKBe	pseudo gene
1737	gene1737.1	1gKAL	pseudo gene
1738	gene1738.1	hylf6	pseudo gene
1739	gene1739.1	xJExg	pseudo gene
1740	gene1740.1	SCm90	pseudo gene
1741	gene1741.1	FyKCa	pseudo gene
1742	gene1742.1	ye0uA	pseudo gene
1743	gene1743.1	8rI5K	pseudo gene
1744	gene1744.1	HrBgQ	pseudo gene
1745	gene1745.1	K3XkU	pseudo gene
1746	gene1746.1	ip40Z	pseudo gene
1747	gene1747.1	IYlBu	pseudo gene
1748	gene1748.1	5m2mR	pseudo gene
1749	gene1749.1	5HwMW	pseudo gene
1750	gene1750.1	J6fcj	pseudo gene
1751	gene1751.1	33rX1	pseudo gene
1752	gene1752.1	QHDVQ	pseudo gene
1753	gene1753.1	uNDbW	pseudo gene
1754	gene1754.1	wXgAp	pseudo gene
1755	gene1755.1	p72yt	pseudo gene
1756	gene1756.1	ObfHV	pseudo gene
1757	gene1757.1	eZPrf	pseudo gene
1758	gene1758.1	gST91	pseudo gene
1759	gene1759.1	KcE8J	pseudo gene
1760	gene1760.1	kj220	pseudo gene
1761	gene1761.1	Z4VVc	pseudo gene
1762	gene1762.1	gTiEw	pseudo gene
1763	gene1763.1	SW14N	pseudo gene
1764	gene1764.1	fp1l9	pseudo gene
1765	gene1765.1	PzDtt	pseudo gene
1766	gene1766.1	MN5DO	pseudo gene
1767	gene1767.1	BhoSo	pseudo gene
1768	gene1768.1	JTiUk	pseudo gene
1769	gene1769.1	2uhaO	pseudo gene
1770	gene1770.1	yheGr	pseudo gene
1771	gene1771.1	o5T0b	pseudo gene
1772	gene1772.1	1DDVP	pseudo gene
1773	gene1773.1	k4a3K	pseudo gene
1774	gene1774.1	0NdJT	pseudo gene
1775	gene1775.1	M0tmL	pseudo gene
1776	gene1776.1	oghRj	pseudo gene
1777	gene1777.1	LZEIA	pseudo gene
1778	gene1778.1	20T11	pseudo gene
1779	gene1779.1	jBiwU	pseudo gene
1780	gene1780.1	W5wKZ	pseudo gene
1781	gene1781.1	p2QCS	pseudo gene
1782	gene1782.1	4qmhk	pseudo gene
1783	gene1783.1	FbDBN	pseudo gene
1784	gene1784.1	6xeFL	pseudo gene
1785	gene1785.1	hUSoJ	pseudo gene
1786	gene1786.1	klV98	pseudo gene
1787	gene1787.1	pFubc	pseudo gene
1788	gene1788.1	oFcBE	pseudo gene
1789	gene1789.1	9fxWP	pseudo gene
1790	gene1790.1	oJ2LV	pseudo gene
1791	gene1791.1	Bq0Jh	pseudo gene
1792	gene1792.1	KSkEx	pseudo gene
1793	gene1793.1	riEmq	pseudo gene
1794	gene1794.1	u0Ijt	pseudo gene
1795	gene1795.1	bZw1f	pseudo gene
1796	gene1796.1	NdM6b	pseudo gene
1797	gene1797.1	8pTBK	pseudo gene
1798	gene1798.1	Ru7Fc	pseudo gene
1799	gene1799.1	xtRW0	pseudo gene
1800	gene1800.1	3FiRB	pseudo gene
1801	gene1801.1	J3isC	pseudo gene
1802	gene1802.1	TgXW7	pseudo gene
1803	gene1803.1	DsBR4	pseudo gene
1804	gene1804.1	ba5iu	pseudo gene
1805	gene1805.1	lPXBE	pseudo gene
1806	gene1806.1	olpOm	pseudo gene
1807	gene1807.1	DQ8f2	pseudo gene
1808	gene1808.1	aw8pZ	pseudo gene
1809	gene1809.1	9Q9Ax	pseudo gene
1810	gene1810.1	pTF6q	pseudo gene
1811	gene1811.1	zdobk	pseudo gene
1812	gene1812.1	y9Wgq	pseudo gene
1813	gene1813.1	Tf8Zd	pseudo gene
1814	gene1814.1	2mEnA	pseudo gene
1815	gene1815.1	Lrhiz	pseudo gene
1816	gene1816.1	8GcDG	pseudo gene
1817	gene1817.1	nNhDo	pseudo gene
1818	gene1818.1	wvwyK	pseudo gene
1819	gene1819.1	BKlGG	pseudo gene
1820	gene1820.1	hwniQ	pseudo gene
1821	gene1821.1	MnXXv	pseudo gene
1822	gene1822.1	CxSy7	pseudo gene
1823	gene1823.1	TgTYO	pseudo gene
1824	gene1824.1	NegDi	pseudo gene
1825	gene1825.1	TQYcK	pseudo gene
1826	gene1826.1	TMD61	pseudo gene
1827	gene1827.1	IGDPY	pseudo gene
1828	gene1828.1	y96Xo	pseudo gene
1829	gene1829.1	w3SC7	pseudo gene
1830	gene1830.1	DFm1o	pseudo gene
1831	gene1831.1	Qwmca	pseudo gene
1832	gene1832.1	SXAFo	pseudo gene
1833	gene1833.1	sYZOH	pseudo gene
1834	gene1834.1	sEo5G	pseudo gene
1835	gene1835.1	hxdif	pseudo gene
1836	gene1836.1	3ALu3	pseudo gene
1837	gene1837.1	SVj32	pseudo gene
1838	gene1838.1	mfj1F	pseudo gene
1839	gene1839.1	CPYxz	pseudo gene
1840	gene1840.1	UsuEm	pseudo gene
1841	gene1841.1	IvQzE	pseudo gene
1842	gene1842.1	RvbNF	pseudo gene
1843	gene1843.1	PHg90	pseudo gene
1844	gene1844.1	oiuGq	pseudo gene
1845	gene1845.1	oA4sD	pseudo gene
1846	gene1846.1	5WRDD	pseudo gene
1847	gene1847.1	7GhPw	pseudo gene
1848	gene1848.1	Olq3W	pseudo gene
1849	gene1849.1	j63uN	pseudo gene
1850	gene1850.1	BgWPX	pseudo gene
1851	gene1851.1	RjoYg	pseudo gene
1852	gene1852.1	PrnQo	pseudo gene
1853	gene1853.1	GXXrF	pseudo gene
1854	gene1854.1	Kvq02	pseudo gene
1855	gene1855.1	ho5kC	pseudo gene
1856	gene1856.1	eOh3Q	pseudo gene
1857	gene1857.1	MxPcc	pseudo gene
1858	gene1858.1	MWuUy	pseudo gene
1859	gene1859.1	lIPqI	pseudo gene
1860	gene1860.1	0O7DP	pseudo gene
1861	gene1861.1	JVUY3	pseudo gene
1862	gene1862.1	757kP	pseudo gene
1863	gene1863.1	v47F5	pseudo gene
1864	gene1864.1	n5Zeb	pseudo gene
1865	gene1865.1	sBLxr	pseudo gene
1866	gene1866.1	d0mCx	pseudo gene
1867	gene1867.1	xTBOg	pseudo gene
1868	gene1868.1	IgBP2	pseudo gene
1869	gene1869.1	6I0qe	pseudo gene
1870	gene1870.1	Lp0uN	pseudo gene
1871	gene1871.1	L1uzQ	pseudo gene
1872	gene1872.1	bG8QI	pseudo gene
1873	gene1873.1	WtUas	pseudo gene
1874	gene1874.1	2RYzr	pseudo gene
1875	gene1875.1	L38SW	pseudo gene
1876	gene1876.1	r9g3h	pseudo gene
1877	gene1877.1	X4uE6	pseudo gene
1878	gene1878.1	KY6ff	pseudo gene
1879	gene1879.1	iOYRj	pseudo gene
1880	gene1880.1	owE43	pseudo gene
1881	gene1881.1	P3jpw	pseudo gene
1882	gene1882.1	hprgY	pseudo gene
1883	gene1883.1	HSYD8	pseudo gene
1884	gene1884.1	ZzW7k	pseudo gene
1885	gene1885.1	EiRzm	pseudo gene
1886	gene1886.1	lJ6Ko	pseudo gene
1887	gene1887.1	iZ4um	pseudo gene
1888	gene1888.1	grltq	pseudo gene
1889	gene1889.1	souBG	pseudo gene
1890	gene1890.1	CMz07	pseudo gene
1891	gene1891.1	pe7o8	pseudo gene
1892	gene1892.1	109bN	pseudo gene
1893	gene1893.1	ESW3l	pseudo gene
1894	gene1894.1	HTHjn	pseudo gene
1895	gene1895.1	P2cYk	pseudo gene
1896	gene1896.1	DPvFq	pseudo gene
1897	gene1897.1	6OPS2	pseudo gene
1898	gene1898.1	HXEkB	pseudo gene
1899	gene1899.1	pHxUA	pseudo gene
1900	gene1900.1	iUM1W	pseudo gene
1901	gene1901.1	TZR1C	pseudo gene
1902	gene1902.1	kCYUR	pseudo gene
1903	gene1903.1	ui3TP	pseudo gene
1904	gene1904.1	7Kt5w	pseudo gene
1905	gene1905.1	4JLs4	pseudo gene
1906	gene1906.1	ReLZs	pseudo gene
1907	gene1907.1	htYkj	pseudo gene
1908	gene1908.1	j2FPg	pseudo gene
1909	gene1909.1	Apfbg	pseudo gene
1910	gene1910.1	g2RTQ	pseudo gene
1911	gene1911.1	k8Wt6	pseudo gene
1912	gene1912.1	6t8kO	pseudo gene
1913	gene1913.1	DQ3Y1	pseudo gene
1914	gene1914.1	c8a8r	pseudo gene
1915	gene1915.1	bJVFi	pseudo gene
